audio_name,image_name,experiment_number,label_1,label_2,label_3
Exp_10_1_12.wav,Exp_10_1_12.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_8.wav,Exp_10_1_8.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_7.wav,Exp_10_1_7.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_6.wav,Exp_10_1_6.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_5.wav,Exp_10_1_5.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_4.wav,Exp_10_1_4.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_3.wav,Exp_10_1_3.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_28.wav,Exp_10_1_28.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_27.wav,Exp_10_1_27.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_26.wav,Exp_10_1_26.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_25.wav,Exp_10_1_25.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_24.wav,Exp_10_1_24.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_23.wav,Exp_10_1_23.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_22.wav,Exp_10_1_22.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_21.wav,Exp_10_1_21.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_20.wav,Exp_10_1_20.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_2.wav,Exp_10_1_2.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_19.wav,Exp_10_1_19.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_18.wav,Exp_10_1_18.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_17.wav,Exp_10_1_17.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_16.wav,Exp_10_1_16.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_15.wav,Exp_10_1_15.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_14.wav,Exp_10_1_14.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_13.wav,Exp_10_1_13.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_1.wav,Exp_10_1_1.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_10.wav,Exp_10_1_10.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_9.wav,Exp_10_1_9.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_1_11.wav,Exp_10_1_11.jpg,10_1,Laser-off,Shielding Gas-off,
Exp_10_10_1.wav,Exp_10_10_1.jpg,10_10,Non-defective,,
Exp_10_10_5.wav,Exp_10_10_5.jpg,10_10,Non-defective,,
Exp_10_10_7.wav,Exp_10_10_7.jpg,10_10,Non-defective,,
Exp_10_10_6.wav,Exp_10_10_6.jpg,10_10,Non-defective,,
Exp_10_10_4.wav,Exp_10_10_4.jpg,10_10,Non-defective,,
Exp_10_10_3.wav,Exp_10_10_3.jpg,10_10,Non-defective,,
Exp_10_10_2.wav,Exp_10_10_2.jpg,10_10,Non-defective,,
Exp_10_10_14.wav,Exp_10_10_14.jpg,10_10,Non-defective,,
Exp_10_10_13.wav,Exp_10_10_13.jpg,10_10,Non-defective,,
Exp_10_10_8.wav,Exp_10_10_8.jpg,10_10,Non-defective,,
Exp_10_10_11.wav,Exp_10_10_11.jpg,10_10,Non-defective,,
Exp_10_10_12.wav,Exp_10_10_12.jpg,10_10,Non-defective,,
Exp_10_10_10.wav,Exp_10_10_10.jpg,10_10,Non-defective,,
Exp_10_10_9.wav,Exp_10_10_9.jpg,10_10,Non-defective,,
Exp_10_11_11.wav,Exp_10_11_11.jpg,10_11,Non-defective,,
Exp_10_11_12.wav,Exp_10_11_12.jpg,10_11,Non-defective,,
Exp_10_11_2.wav,Exp_10_11_2.jpg,10_11,Non-defective,,
Exp_10_11_3.wav,Exp_10_11_3.jpg,10_11,Non-defective,,
Exp_10_11_10.wav,Exp_10_11_10.jpg,10_11,Non-defective,,
Exp_10_11_4.wav,Exp_10_11_4.jpg,10_11,Non-defective,,
Exp_10_11_5.wav,Exp_10_11_5.jpg,10_11,Non-defective,,
Exp_10_11_1.wav,Exp_10_11_1.jpg,10_11,Non-defective,,
Exp_10_11_6.wav,Exp_10_11_6.jpg,10_11,Non-defective,,
Exp_10_11_9.wav,Exp_10_11_9.jpg,10_11,Non-defective,,
Exp_10_11_7.wav,Exp_10_11_7.jpg,10_11,Non-defective,,
Exp_10_11_8.wav,Exp_10_11_8.jpg,10_11,Non-defective,,
Exp_10_12_10.wav,Exp_10_12_10.jpg,10_12,Non-defective,,
Exp_10_12_9.wav,Exp_10_12_9.jpg,10_12,Non-defective,,
Exp_10_12_8.wav,Exp_10_12_8.jpg,10_12,Non-defective,,
Exp_10_12_7.wav,Exp_10_12_7.jpg,10_12,Non-defective,,
Exp_10_12_6.wav,Exp_10_12_6.jpg,10_12,Non-defective,,
Exp_10_12_5.wav,Exp_10_12_5.jpg,10_12,Non-defective,,
Exp_10_12_11.wav,Exp_10_12_11.jpg,10_12,Non-defective,,
Exp_10_12_4.wav,Exp_10_12_4.jpg,10_12,Non-defective,,
Exp_10_12_3.wav,Exp_10_12_3.jpg,10_12,Non-defective,,
Exp_10_12_1.wav,Exp_10_12_1.jpg,10_12,Non-defective,,
Exp_10_12_2.wav,Exp_10_12_2.jpg,10_12,Non-defective,,
Exp_10_12_12.wav,Exp_10_12_12.jpg,10_12,Non-defective,,
Exp_10_13_6.wav,Exp_10_13_6.jpg,10_13,Non-defective,,
Exp_10_13_3.wav,Exp_10_13_3.jpg,10_13,Non-defective,,
Exp_10_13_1.wav,Exp_10_13_1.jpg,10_13,Non-defective,,
Exp_10_13_10.wav,Exp_10_13_10.jpg,10_13,Non-defective,,
Exp_10_13_5.wav,Exp_10_13_5.jpg,10_13,Non-defective,,
Exp_10_13_7.wav,Exp_10_13_7.jpg,10_13,Non-defective,,
Exp_10_13_8.wav,Exp_10_13_8.jpg,10_13,Non-defective,,
Exp_10_13_9.wav,Exp_10_13_9.jpg,10_13,Non-defective,,
Exp_10_13_2.wav,Exp_10_13_2.jpg,10_13,Non-defective,,
Exp_10_13_4.wav,Exp_10_13_4.jpg,10_13,Non-defective,,
Exp_10_14_2.wav,Exp_10_14_2.jpg,10_14,Non-defective,,
Exp_10_14_1.wav,Exp_10_14_1.jpg,10_14,Non-defective,,
Exp_10_14_5.wav,Exp_10_14_5.jpg,10_14,Non-defective,,
Exp_10_14_6.wav,Exp_10_14_6.jpg,10_14,Non-defective,,
Exp_10_14_7.wav,Exp_10_14_7.jpg,10_14,Non-defective,,
Exp_10_14_8.wav,Exp_10_14_8.jpg,10_14,Non-defective,,
Exp_10_14_9.wav,Exp_10_14_9.jpg,10_14,Non-defective,,
Exp_10_14_3.wav,Exp_10_14_3.jpg,10_14,Non-defective,,
Exp_10_14_4.wav,Exp_10_14_4.jpg,10_14,Non-defective,,
Exp_10_15_4.wav,Exp_10_15_4.jpg,10_15,Laser-off,Shielding Gas-on,
Exp_10_15_1.wav,Exp_10_15_1.jpg,10_15,Laser-off,Shielding Gas-on,
Exp_10_15_2.wav,Exp_10_15_2.jpg,10_15,Laser-off,Shielding Gas-on,
Exp_10_15_5.wav,Exp_10_15_5.jpg,10_15,Laser-off,Shielding Gas-on,
Exp_10_15_3.wav,Exp_10_15_3.jpg,10_15,Laser-off,Shielding Gas-on,
Exp_10_16_6.wav,Exp_10_16_6.jpg,10_16,Non-defective,,
Exp_10_16_1.wav,Exp_10_16_1.jpg,10_16,Non-defective,,
Exp_10_16_3.wav,Exp_10_16_3.jpg,10_16,Non-defective,,
Exp_10_16_7.wav,Exp_10_16_7.jpg,10_16,Non-defective,,
Exp_10_16_8.wav,Exp_10_16_8.jpg,10_16,Non-defective,,
Exp_10_16_9.wav,Exp_10_16_9.jpg,10_16,Non-defective,,
Exp_10_16_5.wav,Exp_10_16_5.jpg,10_16,Non-defective,,
Exp_10_16_4.wav,Exp_10_16_4.jpg,10_16,Non-defective,,
Exp_10_16_2.wav,Exp_10_16_2.jpg,10_16,Non-defective,,
Exp_10_17_3.wav,Exp_10_17_3.jpg,10_17,Laser-off,Shielding Gas-on,
Exp_10_17_2.wav,Exp_10_17_2.jpg,10_17,Laser-off,Shielding Gas-on,
Exp_10_17_1.wav,Exp_10_17_1.jpg,10_17,Laser-off,Shielding Gas-on,
Exp_10_18_4.wav,Exp_10_18_4.jpg,10_18,Non-defective,,
Exp_10_18_3.wav,Exp_10_18_3.jpg,10_18,Non-defective,,
Exp_10_18_6.wav,Exp_10_18_6.jpg,10_18,Non-defective,,
Exp_10_18_1.wav,Exp_10_18_1.jpg,10_18,Non-defective,,
Exp_10_18_7.wav,Exp_10_18_7.jpg,10_18,Non-defective,,
Exp_10_18_8.wav,Exp_10_18_8.jpg,10_18,Non-defective,,
Exp_10_18_5.wav,Exp_10_18_5.jpg,10_18,Non-defective,,
Exp_10_18_2.wav,Exp_10_18_2.jpg,10_18,Non-defective,,
Exp_10_19_4.wav,Exp_10_19_4.jpg,10_19,Laser-off,Shielding Gas-on,
Exp_10_19_3.wav,Exp_10_19_3.jpg,10_19,Laser-off,Shielding Gas-on,
Exp_10_19_1.wav,Exp_10_19_1.jpg,10_19,Laser-off,Shielding Gas-on,
Exp_10_19_2.wav,Exp_10_19_2.jpg,10_19,Laser-off,Shielding Gas-on,
Exp_10_2_11.wav,Exp_10_2_11.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_12.wav,Exp_10_2_12.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_13.wav,Exp_10_2_13.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_2.wav,Exp_10_2_2.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_3.wav,Exp_10_2_3.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_4.wav,Exp_10_2_4.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_5.wav,Exp_10_2_5.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_6.wav,Exp_10_2_6.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_7.wav,Exp_10_2_7.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_8.wav,Exp_10_2_8.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_9.wav,Exp_10_2_9.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_10.wav,Exp_10_2_10.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_2_1.wav,Exp_10_2_1.jpg,10_2,Laser-off,Shielding Gas-on,
Exp_10_20_9.wav,Exp_10_20_9.jpg,10_20,Non-defective,,
Exp_10_20_8.wav,Exp_10_20_8.jpg,10_20,Non-defective,,
Exp_10_20_7.wav,Exp_10_20_7.jpg,10_20,Non-defective,,
Exp_10_20_6.wav,Exp_10_20_6.jpg,10_20,Non-defective,,
Exp_10_20_5.wav,Exp_10_20_5.jpg,10_20,Non-defective,,
Exp_10_20_4.wav,Exp_10_20_4.jpg,10_20,Non-defective,,
Exp_10_20_3.wav,Exp_10_20_3.jpg,10_20,Non-defective,,
Exp_10_20_2.wav,Exp_10_20_2.jpg,10_20,Non-defective,,
Exp_10_20_1.wav,Exp_10_20_1.jpg,10_20,Non-defective,,
Exp_10_21_4.wav,Exp_10_21_4.jpg,10_21,Non-defective,,
Exp_10_21_2.wav,Exp_10_21_2.jpg,10_21,Non-defective,,
Exp_10_21_1.wav,Exp_10_21_1.jpg,10_21,Non-defective,,
Exp_10_21_3.wav,Exp_10_21_3.jpg,10_21,Non-defective,,
Exp_10_21_5.wav,Exp_10_21_5.jpg,10_21,Non-defective,,
Exp_10_21_6.wav,Exp_10_21_6.jpg,10_21,Non-defective,,
Exp_10_21_7.wav,Exp_10_21_7.jpg,10_21,Non-defective,,
Exp_10_21_8.wav,Exp_10_21_8.jpg,10_21,Non-defective,,
Exp_10_21_9.wav,Exp_10_21_9.jpg,10_21,Non-defective,,
Exp_10_22_1.wav,Exp_10_22_1.jpg,10_22,Laser-off,Shielding Gas-on,
Exp_10_22_2.wav,Exp_10_22_2.jpg,10_22,Laser-off,Shielding Gas-on,
Exp_10_22_3.wav,Exp_10_22_3.jpg,10_22,Laser-off,Shielding Gas-on,
Exp_10_23_2.wav,Exp_10_23_2.jpg,10_23,Non-defective,,
Exp_10_23_1.wav,Exp_10_23_1.jpg,10_23,Non-defective,,
Exp_10_23_3.wav,Exp_10_23_3.jpg,10_23,Non-defective,,
Exp_10_23_9.wav,Exp_10_23_9.jpg,10_23,Non-defective,,
Exp_10_23_8.wav,Exp_10_23_8.jpg,10_23,Non-defective,,
Exp_10_23_7.wav,Exp_10_23_7.jpg,10_23,Non-defective,,
Exp_10_23_6.wav,Exp_10_23_6.jpg,10_23,Non-defective,,
Exp_10_23_5.wav,Exp_10_23_5.jpg,10_23,Non-defective,,
Exp_10_23_4.wav,Exp_10_23_4.jpg,10_23,Non-defective,,
Exp_10_24_4.wav,Exp_10_24_4.jpg,10_24,Laser-off,Shielding Gas-on,
Exp_10_24_3.wav,Exp_10_24_3.jpg,10_24,Laser-off,Shielding Gas-on,
Exp_10_24_2.wav,Exp_10_24_2.jpg,10_24,Laser-off,Shielding Gas-on,
Exp_10_24_1.wav,Exp_10_24_1.jpg,10_24,Laser-off,Shielding Gas-on,
Exp_10_25_2.wav,Exp_10_25_2.jpg,10_25,Non-defective,,
Exp_10_25_3.wav,Exp_10_25_3.jpg,10_25,Non-defective,,
Exp_10_25_1.wav,Exp_10_25_1.jpg,10_25,Non-defective,,
Exp_10_25_4.wav,Exp_10_25_4.jpg,10_25,Non-defective,,
Exp_10_25_5.wav,Exp_10_25_5.jpg,10_25,Non-defective,,
Exp_10_25_6.wav,Exp_10_25_6.jpg,10_25,Non-defective,,
Exp_10_25_7.wav,Exp_10_25_7.jpg,10_25,Non-defective,,
Exp_10_25_8.wav,Exp_10_25_8.jpg,10_25,Non-defective,,
Exp_10_26_1.wav,Exp_10_26_1.jpg,10_26,Laser-off,Non-defective,Shielding Gas-on
Exp_10_26_2.wav,Exp_10_26_2.jpg,10_26,Laser-off,Non-defective,Shielding Gas-on
Exp_10_26_3.wav,Exp_10_26_3.jpg,10_26,Laser-off,Non-defective,Shielding Gas-on
Exp_10_26_4.wav,Exp_10_26_4.jpg,10_26,Laser-off,Non-defective,Shielding Gas-on
Exp_10_27_5.wav,Exp_10_27_5.jpg,10_27,Non-defective,,
Exp_10_27_1.wav,Exp_10_27_1.jpg,10_27,Non-defective,,
Exp_10_27_10.wav,Exp_10_27_10.jpg,10_27,Non-defective,,
Exp_10_27_2.wav,Exp_10_27_2.jpg,10_27,Non-defective,,
Exp_10_27_9.wav,Exp_10_27_9.jpg,10_27,Non-defective,,
Exp_10_27_3.wav,Exp_10_27_3.jpg,10_27,Non-defective,,
Exp_10_27_7.wav,Exp_10_27_7.jpg,10_27,Non-defective,,
Exp_10_27_6.wav,Exp_10_27_6.jpg,10_27,Non-defective,,
Exp_10_27_4.wav,Exp_10_27_4.jpg,10_27,Non-defective,,
Exp_10_27_8.wav,Exp_10_27_8.jpg,10_27,Non-defective,,
Exp_10_28_4.wav,Exp_10_28_4.jpg,10_28,Laser-off,Shielding Gas-on,
Exp_10_28_3.wav,Exp_10_28_3.jpg,10_28,Laser-off,Shielding Gas-on,
Exp_10_28_2.wav,Exp_10_28_2.jpg,10_28,Laser-off,Shielding Gas-on,
Exp_10_28_1.wav,Exp_10_28_1.jpg,10_28,Laser-off,Shielding Gas-on,
Exp_10_29_4.wav,Exp_10_29_4.jpg,10_29,Non-defective,,
Exp_10_29_8.wav,Exp_10_29_8.jpg,10_29,Non-defective,,
Exp_10_29_1.wav,Exp_10_29_1.jpg,10_29,Non-defective,,
Exp_10_29_9.wav,Exp_10_29_9.jpg,10_29,Non-defective,,
Exp_10_29_2.wav,Exp_10_29_2.jpg,10_29,Non-defective,,
Exp_10_29_3.wav,Exp_10_29_3.jpg,10_29,Non-defective,,
Exp_10_29_10.wav,Exp_10_29_10.jpg,10_29,Non-defective,,
Exp_10_29_5.wav,Exp_10_29_5.jpg,10_29,Non-defective,,
Exp_10_29_6.wav,Exp_10_29_6.jpg,10_29,Non-defective,,
